recipe_id;name;category;cuisine;cooking_method;difficulty;prep_time_minutes;cook_time_minutes;total_time_minutes;servings;calories_per_serving;rating;ingredients;instructions;author;date_created;is_vegetarian;is_vegan;is_gluten_free;is_dairy_free;is_full_meal;is_lunch;is_dinner;is_sweet
1;Alubias;Lunch;Italian;Grilling;Easy;31;169;200;10;477;4.2;pepper, onion, butter, chicken;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Nicholas Roberts;2024-03-20;True;True;True;True;True;True;True;False
2;Arroz con atún;Dessert;Italian;Steaming;Hard;58;143;201;11;418;4.2;oil, pepper, garlic, flour, cream, eggs, sugar, chocolate, fruits, mushrooms;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using steaming method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Ana Duke;2024-08-21;True;False;False;False;True;True;False;True
3;Arroz con pollo al curry;Breakfast;Italian;Steaming;Easy;46;130;176;9;378;4.1;garlic, salt, pepper, fruits, eggs, cereal, bacon, milk, toast;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using steaming method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Deborah Welch;2025-02-05;False;True;True;False;True;True;True;True
4;Arroz con tomate y huevo;Dinner;Middle Eastern;Baking;Hard;23;117;140;2;603;4.1;salt, oil, beef, pasta;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Boil water and cook pasta according to package directions. Cook using baking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Anthony Glenn;2024-09-21;True;False;False;True;True;True;True;False
5;Arroz frito;Snack;French;Sautéing;Easy;22;27;49;7;673;3.2;onion, chicken, beef, vegetables;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Cook using sautéing method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Tina Jackson;2024-02-22;False;False;True;True;True;True;True;False
6;Bocadillo;Breakfast;Italian;Raw;Hard;17;46;63;1;523;3.9;garlic, milk, toast, fruits, cereal, eggs;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Keith Delacruz;2024-11-08;False;False;False;False;True;False;False;False
7;Brócoli;Salad;Korean;Microwaving;Easy;38;98;136;8;664;3.5;pepper, oil, nuts, lettuce;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Nancy Hebert;2024-04-16;False;False;False;True;False;True;False;False
8;Burrito de desayuno;Snack;Chinese;Steaming;Hard;21;15;36;6;799;4.7;salt, rice, fish, pasta, vegetables, chicken;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using steaming method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Sean Johnson;2025-02-22;True;True;True;True;False;False;False;False
9;Burritos;Main Course;French;Baking;Easy;46;72;118;3;773;3.6;garlic, salt, oil, rice, fish, beef, pasta, chicken;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using baking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Daniel Daniel;2025-07-18;True;True;True;True;False;True;True;True
10;Coliflor;Soup;Korean;Sautéing;Hard;44;134;178;7;490;4.1;onion, pepper, butter, vegetables, grains, meat, herbs, beans, broth, spices;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Cook using sautéing method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;David Garrett;2025-03-14;False;True;True;True;False;True;True;False
11;Crema de calabacín;Dulces;Korean;Roasting;Easy;57;152;209;12;643;3.4;oil, salt, onion;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Andrew Gomez;2023-12-11;False;True;False;False;True;True;True;False
12;Crema de calabaza;Dulces;Mediterranean;Frying;Hard;56;44;100;2;707;4.7;salt, pepper, cucumbers, nuts, lettuce;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Kyle Lucas;2025-05-17;True;False;False;False;False;True;False;False
13;Crema de verduras;Dulces;Japanese;Frying;Easy;10;122;132;11;529;4.9;butter, chicken, beef, vegetables, fish, pasta, rice, tomatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Dominic Sanders;2024-02-01;False;True;False;False;False;True;True;True
14;Croquetas;Salad;American;Boiling;Medium;31;74;105;4;489;3.6;garlic, cheese, nuts, cucumbers, tomatoes, lettuce, dressing, carrots, herbs, spices, lime;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using boiling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Joshua Morgan;2024-11-10;False;False;True;False;False;True;True;False
15;Embutido;Snack;Vietnamese;Sautéing;Hard;20;179;199;12;313;3.6;pepper, onion, fish, pasta, chicken, beef;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Boil water and cook pasta according to package directions. Cook using sautéing method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Lindsey Hanna;2024-01-26;False;True;True;False;False;False;False;True
16;Empanada;Dessert;Italian;Sautéing;Medium;55;125;180;3;340;4.4;pepper, oil, fruits, chocolate, sugar, cream;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using sautéing method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Susan Rodriguez;2025-05-30;True;True;True;False;True;False;True;True
17;Empanadillas;Dessert;Spanish;Grilling;Easy;47;122;169;6;200;3.7;pepper, chocolate, eggs, sugar, fruits, flour, cream, carrots, lemon;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Jennifer Brown;2023-10-09;False;True;True;True;False;True;False;True
18;Ensalada césar;Breakfast;Thai;Grilling;Hard;32;177;209;10;287;4.4;salt, garlic, bacon, cereal, fruits, eggs, toast, milk, carrots, lime, spices, potatoes;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Eric Evans;2024-03-02;False;True;True;False;True;False;False;False
19;Ensalada de garbanzos;Clasicos;Italian;Raw;Medium;53;127;180;3;750;3.5;pepper, garlic, salt, water, juice, alcohol, coffee, soda, tea, spinach;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Dr. Sally Kaiser MD;2023-12-01;False;True;True;False;False;False;False;False
20;Ensalada de pasta;Soup;Italian;Frying;Medium;31;18;49;8;368;4.0;onion, garlic, herbs, grains, meat, beans, vegetables, broth, lime;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Victoria Rowe;2025-05-15;True;True;False;False;True;True;True;False
21;Ensalada de tomate;Basicos;Greek;Microwaving;Easy;25;169;194;10;402;4.4;butter, salt, tomatoes, lettuce, cucumbers, cheese, dressing, nuts, mushrooms, lemon;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Ariel Pruitt;2025-08-03;False;False;True;False;True;True;False;False
22;Ensalada de tomate y brinón;Breakfast;Korean;Grilling;Hard;46;41;87;5;454;4.7;onion, garlic, milk, bacon, eggs, cereal, toast, fruits, tomatoes, lemon, spinach;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Terri Frazier;2024-06-09;False;True;True;True;False;False;True;False
23;Espaguetis con verduras;Snack;Italian;Microwaving;Hard;13;86;99;2;396;4.0;salt, oil, onion, fish, vegetables, beef, rice, chicken, pasta, bell peppers, onions;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using microwaving method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Cynthia Diaz;2025-06-19;False;False;False;True;True;False;False;True
24;Fajitas;Snack;Italian;Baking;Medium;15;74;89;1;199;3.0;butter, pasta, chicken, rice;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Rinse rice and cook with appropriate liquid ratio. Boil water and cook pasta according to package directions. Cook using baking method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Carrie Jimenez;2025-09-08;True;True;True;True;False;True;False;True
25;Fideos con salsa de soja;Appetizer;Italian;Grilling;Easy;41;77;118;5;598;4.2;butter, onion, nuts, dips, olives;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using grilling method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Cathy Smith;2023-11-07;False;False;True;True;False;True;True;False
26;Filete;;;Frying;Easy;18;128;146;9;333;3.9;butter, onion, pasta, vegetables;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Boil water and cook pasta according to package directions. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;;;True;True;False;True;True;True;True;False
27;Gambas al ajillo;Dessert;Middle Eastern;Frying;Medium;51;84;135;7;484;4.2;oil, salt, garlic, sugar, cream, fruits;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using frying method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Caleb Stone;2024-02-14;True;False;False;True;True;True;True;True
28;Garbanzos;Dessert;Thai;Raw;Medium;54;178;232;5;408;4.7;garlic, oil, fruits, chocolate, eggs, cream, sugar, flour, mushrooms;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Kevin Bates;2024-01-28;True;True;False;True;False;True;False;True
29;Garbanzos crujientes con curry;Breakfast;Italian;Roasting;Easy;57;38;95;11;260;4.5;pepper, salt, cereal, toast, milk, fruits;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Cook using roasting method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Kevin Young;2023-11-16;False;True;False;False;True;True;True;False
30;Gazpacho;Soup;American;Raw;Hard;57;135;192;8;188;5.0;oil, pepper, grains, broth, vegetables, meat, beans, herbs, mushrooms;Prepare all ingredients by washing and chopping as needed. Season the main ingredients with salt and pepper. Sauté vegetables until tender but still crisp. Cook using raw method for optimal flavor. Taste and adjust seasoning as needed. Garnish and serve immediately.;Michael Marquez;2024-11-22;True;False;True;True;True;True;True;False
